------------ Data File Created By ActiGraph GT3X+ ActiLife v6.13.4 Firmware v1.7.2 date format M/d/yyyy at 100 Hz  Filter Normal -----------
Serial Number: TAS1H50200818
Start Time 14:24:00
Start Date 10/4/2023
Epoch Period (hh:mm:ss) 00:00:00
Download Time 14:26:03
Download Date 10/4/2023
Current Memory Address: 0
Current Battery Voltage: 4.15     Mode = 12
--------------------------------------------------
Accelerometer X,Accelerometer Y,Accelerometer Z
0.172,-0.355,0.793
0.242,-0.289,0.879
0.305,-0.168,0.898
0.34,-0.094,0.852
0.355,-0.07,0.813
0.34,-0.082,0.805
0.344,-0.105,0.848
0.336,-0.125,0.895
0.305,-0.148,0.902
0.219,-0.184,1.496
0.246,-0.145,1.523
0.309,-0.094,1.055
0.285,-0.074,0.898
0.273,-0.023,0.918
0.293,0,0.953
0.316,-0.012,0.98
0.324,-0.023,1.008
0.332,-0.02,1.008
0.309,-0.059,0.992
0.27,-0.098,0.992
0.234,-0.121,0.973
0.234,-0.141,0.961
0.23,-0.148,0.949
0.246,-0.148,0.945
0.262,-0.145,0.945
0.293,-0.133,0.945
0.309,-0.125,0.949
0.316,-0.133,0.938
0.328,-0.137,0.941
0.355,-0.133,0.988
0.371,-0.113,1.035
0.379,-0.105,1.039
0.379,-0.113,1.023
0.367,-0.117,1.016
0.352,-0.117,1.016
0.34,-0.117,1.023
0.324,-0.129,1.023
0.316,-0.133,1.02
0.32,-0.129,1.012
0.309,-0.121,1.008
0.305,-0.113,1.012
0.301,-0.113,1.008
0.305,-0.109,1.008
0.305,-0.102,1.012
0.305,-0.086,1.008
0.309,-0.082,1.004
0.305,-0.086,1.004
0.301,-0.09,1
0.301,-0.082,0.992
0.305,-0.074,0.98
0.309,-0.078,0.984
0.313,-0.074,0.988
0.316,-0.078,0.992
0.309,-0.082,0.996
0.32,-0.074,0.992
0.316,-0.07,0.992
0.301,-0.09,0.992
0.285,-0.105,0.992
0.285,-0.109,1.004
0.293,-0.113,1.023
0.297,-0.125,1.043
0.301,-0.125,1.063
0.305,-0.109,1.059
0.313,-0.094,1.051
0.328,-0.074,1.051
0.34,-0.082,1.059
0.34,-0.082,1.074
0.32,-0.094,1.074
0.313,-0.105,1.07
0.301,-0.117,1.066
0.289,-0.113,1.055
0.301,-0.109,1.051
0.305,-0.09,1.035
0.324,-0.07,1.027
0.32,-0.066,1.012
0.305,-0.074,1
0.316,-0.094,0.992
0.34,-0.082,0.988
0.344,-0.082,0.988
0.34,-0.086,0.973
0.328,-0.09,0.945
0.313,-0.102,0.93
0.328,-0.105,0.93
0.355,-0.098,0.926
0.371,-0.09,0.922
0.371,-0.094,0.918
